content	lable
다음은 열화상 카메라 이용 사례에 대한 설명이다.	6
"그림은 사람 A, B, C가 스키장에서 운동하는 모습을 나타낸 것이다. A는 일정한 속력으로 직선 경로를 따라 올라가고, B는 속력이 빨라지며 직선 경로를 따라 내려오며, C는 속력이 변하 며 곡선 경로를 따라 내려온다."	1
그림은 자석 A와 B가 실에 매달려 정지해 있는 모습을 나타낸 것이다.	1
다음은 고체의 전기적 특성을 알아보기 위한 실험이다.	4
"그림은 동일한 원형 자석 A, B를 플라스틱 통의 양쪽에 고정하고 플라스틱 통 바깥쪽에서 금속 고리를 오른쪽 방향으로 등 속 운동시키는 모습을 나타낸 것이다. 금속 고리가 플라스틱 통 의 왼쪽 끝에서 오른쪽 끝까지 운동하는 동안 금속 고리에 흐르는 유도 전류의 방향은 화살표 방향으로 일정하다."	5
그림 (가)는 시간 t=0일 때 질량이 m인 물체를 점 p에서 가만히 놓았더니 물체가 용수철을 압축시킨 모습을 나타낸 것이 다. 그림 (나)는 물체의 속도를 t에 따라 나타낸 것이다. 용수철 은 t=3t0부터 t=4t0까지 물체에 힘을 작용한다. t=7t0일 때 물체는 p까지 올라간다.	1
그림은 열기관에서 일정량의 이상 기체의 상태가 A → B → C → D → A를 따라 순환하는 동안 기체의 압력과 부피를 나타낸 것이다. 표는 각 과정에서 기체의 내부 에너지 증가량 또는 감소량 U와 기체가 외부에 한 일 또는 외부로부터 받은 일 W를 나타낸 것이다.	2
다음은 두 가지 핵반응이다.	3
"그림과 같이 관찰자 A에 대해 관찰자 B가 탄 우주선이 광속에 가까운 속력 v로 등속도 운동한다. 점 X, Y는 각각 우주선의 앞 과 뒤의 점이다. A의 관성계에서 기준선 P, Q는 정지해 있으며 X가 P를 지나는 순간 Y가 Q를 지난다."	3
"그림과 같이 전류가 흐르는 가늘고 무한히 긴 직선 도선 A, B가 xy평면의 x=0, x=d에 각각 고 정되어 있다. A, B에는 각각 세기 가 I0, 2I0인 전류가 흐르고 있다."	5
